frame,mother,patient,therapist
559,1.06988e-05,6.83751e-06,0.00587267
560,0,2.05125e-05,0.00872002
561,2.13977e-05,0,0.0138809
562,0,6.83751e-06,0.0240246
563,0,0,0.0350581
564,0,1.3675e-05,0.0372381
565,5.34942e-06,0,0.0258931
566,0,0,0.0267829
567,0,2.05125e-05,0.024336
568,0,4.10251e-05,0.0223339
569,5.34942e-06,0.00019145,0.0153045
570,0,0.000478626,0.00622859
571,5.34942e-06,0.0015316,0.00315878
572,1.06988e-05,0.00272817,0.0044045
573,5.34942e-06,0.00598282,0.0039596
574,5.34942e-06,0.00949731,0.00271389
575,0,0.0109332,0.0035147
576,1.06988e-05,0.0108922,0.00347021
577,0,0.0104546,0.00195756
578,0,0.0065982,0.00378164
579,5.34942e-06,0.00284441,0.00404858
580,0,0.00220168,0.00329225
581,3.20965e-05,0.00629735,0.00404858
582,1.60483e-05,0.00882039,0.00302531
583,5.34942e-06,0.00771955,0.00271389
584,0,0.00803408,0.0030698
585,5.34942e-06,0.00678281,0.00333674
586,0,0.00811613,0.00298082
587,5.34942e-06,0.00664606,0.00436001
588,5.34942e-06,0.00162733,0.00244695
589,0,0.0014769,0.00249144
590,0,0.00136067,0.00387062
591,5.34942e-06,0.000389738,0.00378164
592,0,0.00116921,0.00271389
593,1.06988e-05,0.00289911,0.00493838
594,0.00179206,0.00387687,0.00502736
595,0.0060288,0.00323414,0.00342572
596,0.00817927,0.00179827,0.00444899
597,0.00813113,0.00188715,0.00324776
598,0.00716823,0.00408883,0.00369266
599,0.00634442,0.00230424,0.00560573
600,0.00594856,0.000526489,0.00360368
601,0.00512475,0.000314526,0.00226899
602,0.00522104,0.000888877,0.00502736
603,0.00463795,0.000287176,0.00444899
604,0.00281915,0.000102563,0.00298082
605,0.000545641,0.000376063,0.00373715
606,0.000486798,0.00145639,0.00329225
607,0.00027817,0.00373328,0.00213552
608,0.000235375,0.0064341,0.00258042
609,0.000123037,0.00378114,0.00253593
610,8.02414e-05,0.00235894,0.00284736
611,0.000165832,0.00214014,0.00427103
612,0.000256772,0.00242732,0.00280287
613,0.0004654,0.00258458,0.00209103
614,0.000262122,0.00222219,0.00409307
615,0.000117687,0.000458113,0.00364817
616,0.000315616,3.41876e-05,0.00289184
617,0.000192579,6.83751e-05,0.00298082
618,0.000123037,1.3675e-05,0.0039596
619,0.000791715,0.0002188,0.00298082
620,0.00205418,0.000574351,0.00333674
621,0.00286194,0.000622214,0.00271389
622,0.00438118,0.000547001,0.00284736
623,0.00538687,0.000547001,0.0039596
624,0.00537617,0.0001641,0.00320327
625,0.00503916,0.000259826,0.00271389
626,0.00372855,0.000102563,0.00373715
627,0.000968246,1.3675e-05,0.00284736
628,0.000706124,0,0.00427103
629,0.00164762,0.000129913,0.00471593
630,0.00185625,0.000225638,0.00320327
631,0.00176531,0.000123075,0.00244695
632,0.00262657,0.000355551,0.00355919
633,0.00475564,0.000335038,0.00329225
634,0.0060502,0.000314526,0.00253593
635,0.0060609,0.0001094,0.00329225
636,0.00469679,0.000239313,0.00342572
637,0.00215047,0.000300851,0.00289184
638,0.00198464,0.000307688,0.00413756
639,0.00305987,0.00013675,0.00320327
640,0.00352527,0.000170938,0.00262491
641,0.00418325,0.00024615,0.00315878
642,0.00383019,0.000232475,0.00480491
643,0.00422605,0.000765801,0.00404858
644,0.0050873,0.00149058,0.00289184
645,0.00554735,0.001094,0.00218001
646,0.00667073,0.00118973,0.00347021
647,0.00738756,0.0021333,0.00302531
648,0.00546176,0.00128545,0.00311429
649,0.00276565,0.00128545,0.00240246
650,0.00130526,0.000923064,0.00347021
651,0.00157273,0.000314526,0.00329225
652,0.00245539,3.41876e-05,0.0030698
653,0.00318291,3.41876e-05,0.00373715
654,0.00397462,2.73501e-05,0.00360368
655,0.0046005,5.47001e-05,0.00320327
656,0.00413511,0.000307688,0.00262491
657,0.00366436,7.52126e-05,0.00258042
658,0.00333269,0.000143588,0.00342572
659,0.00327385,0.000102563,0.00516083
660,0.00298498,6.83751e-06,0.00298082
661,0.00393718,4.78626e-05,0.00262491
662,0.00505521,0.0001094,0.00355919
663,0.00495357,1.3675e-05,0.0030698
664,0.00405486,0,0.00329225
665,0.00320431,2.05125e-05,0.00387062
666,0.00213977,0,0.00333674
667,0.000952198,6.83751e-06,0.00293633
668,0.00296358,0,0.00444899
669,0.00387833,0,0.00311429
670,0.00385693,0,0.00298082
671,0.00298498,6.83751e-06,0.00511634
672,0.00189905,6.83751e-06,0.00338123
673,0.000497496,6.83751e-06,0.00235797
674,0.00104849,2.73501e-05,0.0035147
675,0.00117687,4.78626e-05,0.00342572
676,0.0014283,6.83751e-06,0.00302531
677,0.000668678,2.05125e-05,0.00364817
678,7.48919e-05,8.88877e-05,0.00413756
679,5.34942e-05,0.00019145,0.00315878
680,0.0014283,0.000341876,0.00342572
681,0.00446142,0.000280338,0.00302531
682,0.00581482,6.83751e-06,0.00387062
683,0.00647815,0,0.00418205
684,0.00643536,6.83751e-06,0.0026694
685,0.00625883,0,0.00284736
686,0.00578273,0.000129913,0.0035147
687,0.00207558,0.0012581,0.00293633
688,0.0041886,0.00151109,0.00324776
689,0.0055527,0.000882039,0.00329225
690,0.00611439,0.000184613,0.00373715
691,0.00633372,2.73501e-05,0.00293633
692,0.00596996,2.05125e-05,0.00262491
