frame,patient,mother,therapist
506,0.0702582,1.27368e-05,0.00464862
507,0.0737549,6.36841e-06,0.00519552
508,0.0778834,6.36841e-06,0.00442075
509,0.0780735,0,0.00273448
510,0.0747486,6.36841e-06,0.00442075
511,0.0671971,1.91052e-05,0.00195971
512,0.0591425,6.36841e-06,0.00309908
513,0.0500819,0,0.00337253
514,0.0385736,2.54737e-05,0.00510437
515,0.0373344,0,0.0037827
516,0.0481434,1.27368e-05,0.00246103
517,0.0542104,3.18421e-05,0.00300793
518,0.0540325,6.36841e-06,0.0036004
519,0.0501862,2.54737e-05,0.00501322
520,0.0466282,6.36841e-06,0.00446632
521,0.0430947,2.54737e-05,0.00236988
522,0.0417022,1.27368e-05,0.00419287
523,0.0391932,3.82105e-05,0.00236988
524,0.0363039,1.91052e-05,0.00278006
525,0.0403894,1.27368e-05,0.00350925
526,0.0392607,1.27368e-05,0.00492207
527,0.0375123,1.91052e-05,0.00442075
528,0.033985,1.91052e-05,0.00200529
529,0.0299731,6.36841e-06,0.00296236
530,0.0320833,1.27368e-05,0.0037827
531,0.0307583,1.27368e-05,0.00382827
532,0.0297952,4.45789e-05,0.00319023
533,0.0298749,6.36841e-05,0.00282563
534,0.0273475,6.36841e-05,0.0037827
535,0.0194095,2.54737e-05,0.00259776
536,0.0141952,1.91052e-05,0.00373713
537,0.0130971,2.54737e-05,0.00300793
538,0.0114899,3.82105e-05,0.00473977
539,0.0106249,2.54737e-05,0.00428402
540,0.00872937,1.91052e-05,0.00241546
541,0.00492599,3.18421e-05,0.00209644
542,0.00479103,4.45789e-05,0.00473977
543,0.00607927,6.36841e-06,0.00401057
544,0.00665591,6.36841e-06,0.00382827
545,0.0104409,6.36841e-06,0.00332695
546,0.0118886,1.27368e-05,0.00437517
547,0.0117843,1.27368e-05,0.00227873
548,0.0106249,6.36841e-06,0.00346368
549,0.01022,1.27368e-05,0.00373713
550,0.00963113,1.27368e-05,0.00391942
551,0.00687675,6.36841e-06,0.00364598
552,0.00369909,6.36841e-06,0.00314465
553,0.00404876,2.54737e-05,0.00250661
554,0.00824474,2.54737e-05,0.0037827
555,0.00753314,1.27368e-05,0.00405615
556,0.00520204,0,0.0041473
557,0.00253967,1.27368e-05,0.00373713
558,0.00217774,1.27368e-05,0.00437517
559,0.000631851,1.27368e-05,0.00291678
560,0.000760676,6.36841e-06,0.00309908
561,0.00214093,1.27368e-05,0.0030535
562,0.00149068,2.54737e-05,0.00405615
563,0.000668658,3.82105e-05,0.0037827
564,0.000558238,2.54737e-05,0.00159511
565,0.000901769,6.36841e-06,0.00250661
